GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,kristiania.enterprise.exam.backend.services,DefaultDataInitializer,3,52,0,0,2,8,0,7,0,7
backend,kristiania.enterprise.exam.backend.services,TripService,17,84,2,0,5,20,2,6,1,6
backend,kristiania.enterprise.exam.backend.services,UserService,0,115,0,6,0,30,0,8,0,5
backend,kristiania.enterprise.exam.backend.entity,TripEntity,22,30,0,0,8,14,7,8,7,8
backend,kristiania.enterprise.exam.backend.entity,LocationEntity,16,15,0,0,6,8,5,4,5,4
backend,kristiania.enterprise.exam.backend.entity,BookingEntity,10,18,0,0,4,9,3,5,3,5
backend,kristiania.enterprise.exam.backend.entity,UserEntity,18,27,0,0,6,14,6,7,6,7
backend,kristiania.enterprise.exam.backend,Season,5,93,0,0,0,3,1,3,1,3
backend,kristiania.enterprise.exam.backend,PasswordConfig,0,7,0,0,0,2,0,2,0,2
